Назва,Категорія,Місто,Ціна (грн),Ціна (сирова),Торг,Бізнес,Дата
Акумулятор 16кВт Felicity FLA48314,Електроніка,Дніпро,91500,91 500 грн.,false,false,
Madden NFL 24 ігри игры диски на PS5,Електроніка,Дніпро,640,640 грн.,false,false,
Відеокарта NVIDIA RTX 2060 SUPER,Електроніка,Київ,8000,8 000 грн.Договірна,true,false,
Iphone 14 Promax 128 Gb Deep Purple (идиальное состояние),Електроніка,Київ,25000,25 000 грн.Договірна,true,false,
Ручний парогенератор з насадками Пароочисник 28в1 Zepline ZP-819,Електроніка,Одеса,1559,1 559 грн.,false,false,
Дисплей iPhone 11 Pro и 11 Pro Max экран с заменой модуль стекло айфон,Електроніка,Київ,1200,1 200 грн.,false,false,
Sony Playstation 4 Slim + 15 Игр,Електроніка,Дніпро,8700,8 700 грн.,false,false,
Смарт телевізор Samsung UE40J5510AU. Діагональ 40.,Електроніка,Київ,6000,6 000 грн.Договірна,true,false,
Apple MacBook Air 13 2017,Електроніка,Одеса,6100,6 100 грн.,false,false,
Apple Watch Ultra 49mm. 99%,Електроніка,Одеса,14300,14 300 грн.,false,false,
FORZA HORIZON 6 на PlayStation 5 и Xbox Series S/X. Акция. Скидки.,Електроніка,Харків,999,999 грн.Договірна,true,false,
(305$) Топовая видеокарта 16Gb RX 6800 SAPPHIRE PULSE (+гарантия),Електроніка,Київ,13200,13 200 грн.,false,false,
Смарт телевізор 24 32 42 4K Smart TV Android LED WIFI YouTube Смарт ТВ,Електроніка,Дніпро,2888,2 888 грн.,false,false,
Навушники гарнітура Sony LinkBusd WH-L900,Електроніка,Київ,1850,1 850 грн.,false,false,
Блок живлення Raidmax 1000W 80+ Gold,Електроніка,Київ,3900,3 900 грн.,false,false,
"массажер перкуссионный потужний   Medica+ MassHand Pr5.новий, гарантія",Електроніка,Київ,5800,5 800 грн.,false,false,
Зарядний пристрій для LiFePO4 акумуляторів 20 А,Електроніка,Дніпро,2550,2 550 грн.,false,false,
Аккумуляторы 18650 SANYO 3200mAh 2800 / Протестированая каждая батарея,Електроніка,Харків,58,58 грн.Договірна,true,false,
Акустична система Tannoy Definition DC8T,Електроніка,Київ,120000,120 000 грн.,false,false,
Apple iPhone 6s 32Gb Gold,Електроніка,Одеса,1550,1 550 грн.,false,false,
